,Date,Emotion,Valence
0,2021_02_01,anger,0.3023255813953488
1,2021_02_01,disgust,0.3488372093023256
2,2021_02_01,fear,0.6511627906976745
3,2021_02_01,sadness,0.4418604651162791
4,2021_02_02,anger,0.27472527472527475
5,2021_02_02,disgust,0.15384615384615385
6,2021_02_02,fear,0.5494505494505495
7,2021_02_02,sadness,0.2857142857142857
8,2021_02_03,anger,0.38235294117647056
9,2021_02_03,disgust,0.22549019607843138
10,2021_02_03,fear,0.5490196078431373
11,2021_02_03,sadness,0.3431372549019608
12,2021_02_04,anger,0.40625
13,2021_02_04,disgust,0.296875
14,2021_02_04,fear,0.546875
15,2021_02_04,sadness,0.390625
16,2021_02_05,anger,0.3541666666666667
17,2021_02_05,disgust,0.1875
18,2021_02_05,fear,0.6666666666666666
19,2021_02_05,sadness,0.4583333333333333
20,2021_02_06,anger,0.45714285714285713
21,2021_02_06,disgust,0.2571428571428571
22,2021_02_06,fear,0.8285714285714286
23,2021_02_06,sadness,0.5142857142857142
24,2021_02_07,anger,0.41379310344827586
25,2021_02_07,disgust,0.27586206896551724
26,2021_02_07,fear,0.6551724137931034
27,2021_02_07,sadness,0.4827586206896552
28,2021_02_08,anger,0.4
29,2021_02_08,disgust,0.34
30,2021_02_08,fear,0.42
31,2021_02_08,sadness,0.38
32,2021_02_09,anger,0.4067796610169492
33,2021_02_09,disgust,0.22033898305084745
34,2021_02_09,fear,0.711864406779661
35,2021_02_09,sadness,0.5254237288135594
36,2021_02_10,anger,0.3103448275862069
37,2021_02_10,disgust,0.2413793103448276
38,2021_02_10,fear,0.5517241379310345
39,2021_02_10,sadness,0.5172413793103449
40,2021_02_11,anger,0.484375
41,2021_02_11,disgust,0.328125
42,2021_02_11,fear,0.828125
43,2021_02_11,sadness,0.40625
44,2021_02_12,anger,0.5185185185185185
45,2021_02_12,disgust,0.3333333333333333
46,2021_02_12,fear,0.8703703703703703
47,2021_02_12,sadness,0.5370370370370371
48,2021_02_13,anger,0.5
49,2021_02_13,disgust,0.3
50,2021_02_13,fear,0.8333333333333334
51,2021_02_13,sadness,0.4
52,2021_02_14,anger,0.4883720930232558
53,2021_02_14,disgust,0.3953488372093023
