,02 jp,02 en,03 jp,03 en,04 jp,04 en,05 jp,05 en,06 jp,06 en,07 jp,07 en,08 jp,08 en,09 jp,09 en
0,アストラ ゼネカ,Astra + Zeneca,アストラ ゼネカ,Astra + Zeneca,アストラ ゼネカ,Astra + Zeneca,東京 五輪,Tokyo + Olympics,予約 可能,reservation + possible,予約 可能,reservation + possible,予約 可能,reservation + possible,予約 可能,reservation + possible
1,医療 従事者,health care + workers,青森 ニュース,Aomori + News,医療 従事者,health care + workers,医療 従事者,health care + workers,会場 予約,venue + reservation,会場 予約,venue + reservation,会場 予約,venue + reservation,会場 予約,venue + reservation
2,article reuters,article + Reuters,東京 オリンピック,Tokyo + Olympics,変異 感染,mutation + infection,アストラ ゼネカ,Astra + Zeneca,article reuters,article + Reuters,会場 東京都,venue + Tokyo,アストラ ゼネカ,Astra + Zeneca,article reuters,article + Reuters
3,変異 効果,mutation + effect,article reuters,article + Reuters,世界 状況,world + condition,変異 感染,mutation + infection,アストラ ゼネカ,Astra + Zeneca,可能 予約,possible + reservation,会場 東京都,venue + Tokyo,コンテンツ 禁止,content + prohibition
4,脅かす 恐れ,threaten + fear,こちら アンケート,here + questionnaire,article reuters,article + Reuters,医療 崩壊,medical + collapse,会場 東京都,venue + Tokyo,医療 従事者,health care + workers,可能 予約,possible + reservation,全て コンテンツ,all + content
5,効果 脅かす,effect + threaten,よろしけれ こちら,if okay + here,チャート 見る,chart + watch,感染 医療,infect + medical care,ファイザー モデルナ,Pfizer + Moderna,article reuters,article + Reuters,article reuters,article + Reuters,含む 全て,include + all
6,英国 再び,UK + again,アンケート 答え,questionnaire + answer,感染 対策,infect + strategy,article reuters,article + Reuters,医療 従事者,health care + workers,感染 拡大,infect + expansion,感染 拡大,infect + expansion,ユーチューブ 含む,YouTube + include
7,再び 変異,again + mutation,答え いただけ,answer + please,感染 拡大,infect + expansion,五輪 衆院選,Olympic + House election,心臓 疾患,heart + disease,アストラ ゼネカ,Astra + Zeneca,正式 承認,formal + recognize,会場 東京都,venue + Tokyo
8,恐れ 科学者,Fear scientist,いただけ しょう,accept + do,有効性 低下,effectiveness + low,衆院選 焦る,lower house election + rush,可能 予約,possible + reservation,可能 url,may + url,現在 予約,current + reservation,可能 予約,possible + reservation
9,臨床 試験,clinical + trial,しょう 多く,do + many,不明 変異,unknown + mutation,焦る 義偉,hurry + Yoshiyoshi,チャート 見る,chart + watch,url osaka,Url + Osaka,可能 会場,possible + venue,ファイザー ceo,Pfizer + CEO
