Date,Vaccine
2021-02-18,486
2021-02-19,2457
2021-02-20,2404
2021-02-21,2378
2021-02-22,2362
2021-02-23,2464
2021-02-24,2538
2021-02-25,3041
2021-02-26,3356
2021-02-27,3183
2021-02-28,3009
2021-03-01,2836
2021-03-02,2837
2021-03-03,2774
2021-03-04,2468
2021-03-05,2563
2021-03-06,3566
2021-03-07,4570
2021-03-08,5573
2021-03-09,10398
2021-03-10,15950
2021-03-11,20287
2021-03-12,26296
2021-03-13,27982
2021-03-14,29668
2021-03-15,31354
2021-03-16,35948
2021-03-17,41219
2021-03-18,46788
2021-03-19,49756
2021-03-20,50429
2021-03-21,51102
2021-03-22,51775
2021-03-23,48562
2021-03-24,43385
2021-03-25,38060
2021-03-26,34862
2021-03-27,34573
2021-03-28,34284
2021-03-29,33995
2021-03-30,35801
2021-03-31,37366
2021-04-01,39284
2021-04-02,39118
2021-04-03,40661
2021-04-04,42203
2021-04-05,43746
2021-04-06,48405
2021-04-07,55767
2021-04-08,62499
2021-04-09,70831
2021-04-10,70902
2021-04-11,70973
2021-04-12,101630
2021-04-13,58286
2021-04-14,56266
2021-04-15,61425
2021-04-16,80370
2021-04-17,7646
2021-04-18,8383
2021-04-19,149670
2021-04-20,173794
2021-04-21,209300
2021-04-22,204749
2021-04-23,228696
2021-04-24,35256
2021-04-25,25439
2021-04-26,318770
2021-04-27,276956
2021-04-28,318479
2021-04-29,20203
2021-04-30,335506
2021-05-01,40265
2021-05-02,27307
2021-05-03,8244
2021-05-04,9213
2021-05-05,10775
2021-05-06,388698
2021-05-07,202362
2021-05-08,70600
2021-05-09,84036
2021-05-10,357583
2021-05-11,346266
2021-05-12,397688
2021-05-13,430407
2021-05-14,429385
2021-05-15,174444
2021-05-16,214423
2021-05-17,612692
2021-05-18,575258
2021-05-19,651950
2021-05-20,545126
2021-05-21,593462
2021-05-22,330564
2021-05-23,355497
2021-05-24,794952
2021-05-25,675718
2021-05-26,736769
2021-05-27,753260
2021-05-28,749649
2021-05-29,538568
2021-05-30,533046
2021-05-31,907130
2021-06-01,940652
2021-06-02,989753
2021-06-03,976790
2021-06-04,952395
2021-06-05,757096
2021-06-06,753077
2021-06-07,1110454
2021-06-08,1140394
2021-06-09,1186790
2021-06-10,1155457
2021-06-11,1137878
2021-06-12,950002
2021-06-13,929233
2021-06-14,1256823
2021-06-15,1275560
2021-06-16,1312332
2021-06-17,1316069
2021-06-18,1272476
2021-06-19,1123507
2021-06-20,1117547
2021-06-21,1415266
2021-06-22,1330262
2021-06-23,1467443
2021-06-24,1398988
2021-06-25,1276863
2021-06-26,1302749
2021-06-27,1327159
2021-06-28,1335600
2021-06-29,1346407
2021-06-30,1352440
2021-07-01,1327979
2021-07-02,1295796
2021-07-03,1306996
2021-07-04,1310158
2021-07-05,1318101
2021-07-06,1325335
2021-07-07,1330801
2021-07-08,1366938
2021-07-09,1410201
2021-07-10,1427161
2021-07-11,1426668
2021-07-12,1415830
2021-07-13,1400201
2021-07-14,1384779
2021-07-15,1365699
2021-07-16,1348964
2021-07-17,1330841
2021-07-18,1320413
2021-07-19,1271765
2021-07-20,1259534
2021-07-21,1244308
2021-07-22,1134015
2021-07-23,1003471
2021-07-24,972648
2021-07-25,950272
2021-07-26,975417
2021-07-27,968835
2021-07-28,966186
2021-07-29,1058784
2021-07-30,1170532
2021-07-31,1190234
2021-08-01,1176847
2021-08-02,1127507
2021-08-03,1068429
2021-08-04,1833546
2021-08-05,1858539
2021-08-06,1805041
2021-08-07,1742929
2021-08-08,1724842
2021-08-09,1718949
2021-08-10,1997542
2021-08-11,1256766
2021-08-12,1218344
2021-08-13,1184341
2021-08-14,1150339
2021-08-15,1116337
2021-08-16,1162568
2021-08-17,1095851
2021-08-18,1083255
2021-08-19,1080071
2021-08-20,1119963
2021-08-21,1159854
2021-08-22,1199745
2021-08-23,1316511
2021-08-24,1267359
2021-08-25,1244914
2021-08-26,1256355
2021-08-27,1271402
2021-08-28,1286449
2021-08-29,1301495
2021-08-30,1213328
2021-08-31,1239656
2021-09-01,1236440
2021-09-02,1217674
2021-09-03,1174067
2021-09-04,1130460
2021-09-05,1086852
2021-09-06,989351
2021-09-07,1170387
2021-09-08,1180279
2021-09-09,1196360
2021-09-10,1239671
2021-09-11,1282982
2021-09-12,1326293
2021-09-13,1443575
2021-09-14,1213338
2021-09-15,1211318
2021-09-16,1207116
2021-09-17,1185557
2021-09-18,1163998
2021-09-19,1142439
2021-09-20,1046909
2021-09-21,1055028
2021-09-22,998697
2021-09-23,953908
2021-09-24,978087
2021-09-25,1002266
2021-09-26,1026445
2021-09-27,1134065
2021-09-28,1086500
2021-09-29,1138904
2021-09-30,1185588
