Date,Vaccine
2021-02-18,486
2021-02-19,2457
2021-02-20,2404
2021-02-21,2378
2021-02-22,2362
2021-02-23,2464
2021-02-24,2538
2021-02-25,3041
2021-02-26,3356
2021-02-27,3183
2021-02-28,3009
2021-03-01,2836
2021-03-02,2837
2021-03-03,2774
2021-03-04,2468
2021-03-05,2563
2021-03-06,3566
2021-03-07,4570
2021-03-08,5573
2021-03-09,10398
2021-03-10,15950
2021-03-11,20287
2021-03-12,26296
2021-03-13,27982
2021-03-14,29668
2021-03-15,31354
2021-03-16,35948
2021-03-17,41219
2021-03-18,46788
2021-03-19,49756
2021-03-20,50429
2021-03-21,51102
2021-03-22,51775
2021-03-23,48562
2021-03-24,43385
2021-03-25,38060
2021-03-26,34862
2021-03-27,34573
2021-03-28,34284
2021-03-29,33995
2021-03-30,35801
2021-03-31,37366
2021-04-01,39284
2021-04-02,39118
2021-04-03,40661
2021-04-04,42203
2021-04-05,43746
2021-04-06,48405
2021-04-07,55767
2021-04-08,62499
2021-04-09,70831
2021-04-10,70902
2021-04-11,70973
2021-04-12,71044
2021-04-13,66265
2021-04-14,59341
2021-04-15,54678
2021-04-16,51311
2021-04-17,47692
2021-04-18,44093
2021-04-19,61405
2021-04-20,78956
2021-04-21,102174
2021-04-22,123951
2021-04-23,146495
2021-04-24,151104
2021-04-25,153513
2021-04-26,178418
2021-04-27,193940
2021-04-28,210325
2021-04-29,182786
2021-04-30,198351
2021-05-01,198736
2021-05-02,198679
2021-05-03,152796
2021-05-04,112712
2021-05-05,66618
2021-05-06,118667
2021-05-07,96959
2021-05-08,100546
2021-05-09,108634
2021-05-10,157926
2021-05-11,204770
2021-05-12,258710
2021-05-13,263917
2021-05-14,296023
2021-05-15,310623
2021-05-16,328618
2021-05-17,364867
2021-05-18,397125
2021-05-19,432843
2021-05-20,448581
2021-05-21,471252
2021-05-22,493384
2021-05-23,513548
2021-05-24,538482
2021-05-25,552314
2021-05-26,564013
2021-05-27,592803
2021-05-28,614156
2021-05-29,643030
2021-05-30,668135
2021-05-31,684049
2021-06-01,718748
2021-06-02,751543
2021-06-03,780350
2021-06-04,806910
2021-06-05,836379
2021-06-06,866543
2021-06-07,892576
2021-06-08,919612
2021-06-09,945794
2021-06-10,969677
2021-06-11,994061
2021-06-12,1020123
2021-06-13,1044171
2021-06-14,1062957
2021-06-15,1080644
2021-06-16,1097919
2021-06-17,1120640
2021-06-18,1138478
2021-06-19,1161346
2021-06-20,1185885
2021-06-21,1203187
2021-06-22,1221773
2021-06-23,1240246
2021-06-24,1255352
2021-06-25,1276863
2021-06-26,1302749
2021-06-27,1327159
2021-06-28,1335600
2021-06-29,1346407
2021-06-30,1352440
2021-07-01,1327979
2021-07-02,1295796
2021-07-03,1306996
2021-07-04,1310158
2021-07-05,1318101
2021-07-06,1325335
2021-07-07,1330801
2021-07-08,1366938
2021-07-09,1410201
2021-07-10,1427161
2021-07-11,1426668
2021-07-12,1415830
2021-07-13,1400201
2021-07-14,1384779
2021-07-15,1365699
2021-07-16,1348964
2021-07-17,1330841
2021-07-18,1320413
2021-07-19,1271765
2021-07-20,1259534
2021-07-21,1244308
2021-07-22,1134015
2021-07-23,1003471
2021-07-24,972648
2021-07-25,950272
2021-07-26,975417
2021-07-27,968835
2021-07-28,966186
2021-07-29,1058784
2021-07-30,1170532
2021-07-31,1190234
2021-08-01,1176847
2021-08-02,1127507
2021-08-03,1068429
2021-08-04,1833546
2021-08-05,1858539
2021-08-06,1805041
2021-08-07,1742929
2021-08-08,1724842
2021-08-09,1718949
2021-08-10,1997542
2021-08-11,1256766
2021-08-12,1218344
2021-08-13,1184341
2021-08-14,1150339
2021-08-15,1116337
2021-08-16,1162568
2021-08-17,1095851
2021-08-18,1083255
2021-08-19,1080071
2021-08-20,1119963
2021-08-21,1159854
2021-08-22,1199745
2021-08-23,1316511
2021-08-24,1267359
2021-08-25,1244914
2021-08-26,1256355
2021-08-27,1271402
2021-08-28,1286449
2021-08-29,1301495
2021-08-30,1213328
2021-08-31,1239656
2021-09-01,1236440
2021-09-02,1217674
2021-09-03,1174067
2021-09-04,1130460
2021-09-05,1086852
2021-09-06,989351
2021-09-07,1170387
2021-09-08,1180279
2021-09-09,1196360
2021-09-10,1239671
2021-09-11,1282982
2021-09-12,1326293
2021-09-13,1443575
2021-09-14,1213338
2021-09-15,1211318
2021-09-16,1207116
2021-09-17,1185557
2021-09-18,1163998
2021-09-19,1142439
2021-09-20,1046909
2021-09-21,1055028
2021-09-22,998697
2021-09-23,953908
2021-09-24,978087
2021-09-25,1002266
2021-09-26,1026445
2021-09-27,1134065
2021-09-28,1086500
2021-09-29,1138904
2021-09-30,1185588
