Date,Vaccine
2/17/2022,8813
2/16/2022,11771
2/15/2022,13588
2/14/2022,13158
2/13/2022,15299
2/12/2022,36990
2/11/2022,6350
2/10/2022,16116
2/9/2022,16331
2/8/2022,17790
2/7/2022,18884
2/6/2022,18140
2/5/2022,45253
2/4/2022,30745
2/3/2022,15533
2/2/2022,13478
2/1/2022,18196
1/31/2022,11879
1/30/2022,20240
1/29/2022,52403
1/28/2022,34345
1/27/2022,15772
1/26/2022,15809
1/25/2022,14715
1/24/2022,12975
1/23/2022,13069
1/22/2022,33884
1/21/2022,17814
1/20/2022,13605
1/19/2022,15575
1/18/2022,18517
1/17/2022,20772
1/16/2022,23676
1/15/2022,58122
1/14/2022,37160
1/13/2022,19018
1/12/2022,22576
1/11/2022,23821
1/10/2022,3589
1/9/2022,24499
1/8/2022,66453
1/7/2022,40971
1/6/2022,17094
1/5/2022,16158
1/4/2022,9551
1/3/2022,355
1/2/2022,309
1/1/2022,40
12/31/2021,392
12/30/2021,2033
12/29/2021,7423
12/28/2021,19743
12/27/2021,24903
12/26/2021,32703
12/25/2021,78960
12/24/2021,50587
12/23/2021,26762
12/22/2021,31222
12/21/2021,30919
12/20/2021,25309
12/19/2021,36365
12/18/2021,93498
12/17/2021,63728
12/16/2021,30130
12/15/2021,31534
12/14/2021,14973
12/13/2021,26306
12/12/2021,29132
12/11/2021,72393
12/10/2021,51519
12/9/2021,26522
12/8/2021,30388
12/7/2021,35567
12/6/2021,39455
12/5/2021,49354
12/4/2021,120989
12/3/2021,81875
12/2/2021,44709
12/1/2021,48626
11/30/2021,79811
11/29/2021,75469
11/28/2021,113240
11/27/2021,207376
11/26/2021,148694
11/25/2021,86067
11/24/2021,71033
11/23/2021,25722
11/22/2021,92685
11/21/2021,158492
11/20/2021,279227
11/19/2021,199152
11/18/2021,129691
11/17/2021,139973
11/16/2021,145787
11/15/2021,145635
11/14/2021,206799
11/13/2021,358001
11/12/2021,271972
11/11/2021,183347
11/10/2021,207164
11/9/2021,227231
11/8/2021,230371
11/7/2021,350890
11/6/2021,554574
11/5/2021,411646
11/4/2021,327686
11/3/2021,99094
11/2/2021,313008
11/1/2021,333664
10/31/2021,526663
10/30/2021,750737
10/29/2021,557152
10/28/2021,436228
10/27/2021,451227
10/26/2021,473789
10/25/2021,464767
10/24/2021,671552
10/23/2021,930061
10/22/2021,694408
10/21/2021,538304
10/20/2021,580693
10/19/2021,594053
10/18/2021,556480
10/17/2021,746491
10/16/2021,1057781
10/15/2021,820336
10/14/2021,515842
10/13/2021,579804
10/12/2021,715922
10/11/2021,501741
10/10/2021,979680
10/9/2021,1331276
10/8/2021,1037485
10/7/2021,854805
10/6/2021,871540
10/5/2021,901367
10/4/2021,862771
10/3/2021,1077259
10/2/2021,1378817
10/1/2021,1080799
9/30/2021,988942
9/29/2021,996710
9/28/2021,1028917
9/27/2021,992764
9/26/2021,1176818
9/25/2021,1517166
9/24/2021,1204057
9/23/2021,432708
9/22/2021,1076481
9/21/2021,1098943
9/20/2021,312733
9/19/2021,1145262
9/18/2021,1465621
9/17/2021,1218188
9/16/2021,1059859
9/15/2021,1069744
9/14/2021,1090820
9/13/2021,1028736
9/12/2021,1214766
9/11/2021,1510917
9/10/2021,1263015
9/9/2021,1128012
9/8/2021,1152186
9/7/2021,1160210
9/6/2021,1037854
9/5/2021,1180338
9/4/2021,1411526
9/3/2021,1161403
9/2/2021,927201
9/1/2021,1140914
8/31/2021,1186761
8/30/2021,677142
8/29/2021,1231079
8/28/2021,1478968
8/27/2021,1307877
8/26/2021,1172895
8/25/2021,1240361
8/24/2021,1266296
8/23/2021,1200189
8/22/2021,1239371
8/21/2021,1445596
8/20/2021,1310210
8/19/2021,1217574
8/18/2021,1259245
8/17/2021,1248918
8/16/2021,1019066
8/15/2021,748139
8/14/2021,765165
8/13/2021,674401
8/12/2021,928188
8/11/2021,1238500
8/10/2021,1323359
8/9/2021,388471
8/8/2021,1245368
8/7/2021,1589561
8/6/2021,1526805
8/5/2021,1448923
8/4/2021,1439630
8/3/2021,1456174
8/2/2021,1388329
8/1/2021,1260651
7/31/2021,1644774
7/30/2021,1639487
7/29/2021,1575324
7/28/2021,1583970
7/27/2021,1558195
7/26/2021,1483570
7/25/2021,1209262
7/24/2021,1317276
7/23/2021,527246
7/22/2021,669862
7/21/2021,1515974
7/20/2021,1500406
7/19/2021,1159541
7/18/2021,1333503
7/17/2021,1524850
7/16/2021,1525674
7/15/2021,1508499
7/14/2021,1542394
7/13/2021,1546523
7/12/2021,1453793
7/11/2021,1436348
7/10/2021,1702059
7/9/2021,1674720
7/8/2021,1659703
7/7/2021,1660921
7/6/2021,1652407
7/5/2021,1549076
7/4/2021,1408310
7/3/2021,1524044
7/2/2021,1289097
7/1/2021,1315330
6/30/2021,1539306
6/29/2021,1500085
6/28/2021,1381743
6/27/2021,1334100
6/26/2021,1353705
6/25/2021,1355650
6/24/2021,1373278
6/23/2021,1395152
6/22/2021,1361154
6/21/2021,1215398
6/20/2021,1115966
6/19/2021,1122325
6/18/2021,1145369
6/17/2021,1185694
6/16/2021,1192169
6/15/2021,1158786
6/14/2021,1041147
6/13/2021,928704
6/12/2021,949360
6/11/2021,988286
6/10/2021,1017852
6/9/2021,1018493
6/8/2021,977526
6/7/2021,870644
6/6/2021,752684
6/5/2021,756519
6/4/2021,792341
6/3/2021,832913
6/2/2021,829787
6/1/2021,780987
5/31/2021,633594
5/30/2021,532962
5/29/2021,538139
5/28/2021,584809
5/27/2021,607532
5/26/2021,593830
5/25/2021,535696
5/24/2021,464180
5/23/2021,355355
5/22/2021,330124
5/21/2021,343666
5/20/2021,354142
5/19/2021,383361
5/18/2021,324313
5/17/2021,262681
5/16/2021,214292
5/15/2021,173891
5/14/2021,185512
5/13/2021,210358
5/12/2021,215235
5/11/2021,176910
5/10/2021,133781
5/9/2021,84055
5/8/2021,70343
5/7/2021,61836
5/6/2021,56567
5/5/2021,10739
5/4/2021,9175
5/3/2021,8204
5/2/2021,27227
5/1/2021,39909
4/30/2021,60101
4/29/2021,20095
4/28/2021,79586
4/27/2021,73361
4/26/2021,55014
4/25/2021,25378
4/24/2021,34865
4/23/2021,50402
4/22/2021,53800
4/21/2021,55908
4/20/2021,46986
4/19/2021,30474
4/18/2021,8362
4/17/2021,7614
4/16/2021,10552
4/15/2021,8784
4/14/2021,5296
4/13/2021,4317
4/12/2021,4703
