Date,POSITIVE,NEGATIVE,NEUTRAL,MIXED
2021-02-01,6,37,360,6
2021-02-02,12,73,538,6
2021-02-03,17,85,663,8
2021-02-04,9,55,536,5
2021-02-05,8,40,488,7
2021-02-06,2,33,327,1
2021-02-07,4,25,347,2
2021-02-08,11,39,477,7
2021-02-09,7,52,430,8
2021-02-10,11,47,417,2
2021-02-11,12,51,421,5
2021-02-12,9,43,541,4
2021-02-13,9,21,339,4
2021-02-14,13,30,357,5
2021-02-15,15,51,506,6
2021-02-16,10,74,632,8
2021-02-17,13,67,646,13
2021-02-18,25,56,514,3
2021-02-19,13,63,597,5
2021-02-20,12,47,483,11
2021-02-21,13,49,427,2
2021-02-22,9,43,435,3
2021-02-23,13,35,384,8
2021-02-24,19,49,447,4
2021-02-25,7,24,440,5
2021-02-26,7,29,419,5
2021-02-27,14,24,344,4
2021-02-28,10,60,474,8
2021-03-01,9,50,447,1
2021-03-02,11,54,621,5
2021-03-03,15,41,456,5
2021-03-04,9,35,357,1
2021-03-05,15,25,467,3
2021-03-06,10,45,319,3
2021-03-07,2,32,302,4
2021-03-08,8,46,552,2
2021-03-09,12,64,600,13
2021-03-10,6,49,441,1
2021-03-11,12,38,567,4
2021-03-12,10,42,618,4
2021-03-13,9,31,410,5
2021-03-14,17,43,402,1
2021-03-15,17,62,753,5
2021-03-16,17,42,634,4
2021-03-17,7,45,542,11
2021-03-18,13,41,465,4
2021-03-19,12,52,463,3
2021-03-20,6,32,337,1
2021-03-21,5,43,372,5
2021-03-22,16,28,485,2
2021-03-23,11,32,444,4
2021-03-24,18,31,508,6
2021-03-25,11,34,389,5
2021-03-26,12,25,391,4
2021-03-27,7,24,303,5
2021-03-28,10,31,320,1
2021-03-29,13,36,429,4
2021-03-30,9,33,459,3
2021-03-31,23,30,448,6
2021-04-01,16,42,411,12
2021-04-02,10,37,523,2
2021-04-03,14,44,338,6
2021-04-04,7,41,326,5
2021-04-05,5,51,386,1
2021-04-06,8,48,456,2
2021-04-07,18,59,533,7
2021-04-08,11,51,386,4
2021-04-09,9,58,452,6
2021-04-10,21,60,369,3
2021-04-11,15,61,399,5
2021-04-12,14,72,574,7
2021-04-13,15,115,731,6
2021-04-14,12,45,526,4
2021-04-15,9,66,443,5
2021-04-16,7,43,480,6
2021-04-17,3,41,275,2
2021-04-18,10,52,375,5
2021-04-19,11,78,663,7
2021-04-20,21,64,550,5
2021-04-21,13,70,463,5
2021-04-22,8,57,458,8
2021-04-23,18,70,534,14
2021-04-24,8,47,413,7
2021-04-25,3,59,380,5
2021-04-26,13,69,555,8
2021-04-27,16,72,555,10
2021-04-28,17,82,592,6
2021-04-29,32,100,581,9
2021-04-30,15,64,553,7
2021-05-01,12,51,413,7
2021-05-02,15,53,456,8
2021-05-03,8,60,420,8
2021-05-04,15,44,588,2
2021-05-05,24,68,650,8
2021-05-06,18,107,835,7
2021-05-07,20,71,683,7
2021-05-08,26,89,668,11
2021-05-09,14,76,494,6
2021-05-10,35,97,799,10
2021-05-11,19,93,803,12
2021-05-12,27,83,789,8
2021-05-13,22,88,812,7
2021-05-14,19,89,680,13
2021-05-15,21,108,597,8
2021-05-16,15,129,679,7
2021-05-17,21,97,771,8
2021-05-18,23,110,759,8
2021-05-19,17,82,620,7
2021-05-20,12,126,669,13
2021-05-21,16,79,710,9
2021-05-22,16,55,448,4
2021-05-23,17,45,520,9
2021-05-24,17,90,613,7
2021-05-25,34,95,811,9
2021-05-26,23,85,816,10
2021-05-27,28,69,790,8
2021-05-28,24,69,775,9
2021-05-29,23,80,681,6
2021-05-30,13,54,534,5
2021-05-31,20,57,548,14
2021-06-01,23,61,777,8
